Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/predict?cb_nonce=118029,1,1,4215.293399989605,4215.293399989605,4215.293399989605,4215.293399989605,0.0,0.0008323746104118736,0.0008323746104118736,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200
GET,/predict?cb_nonce=118204,1,0,1271.9723000191152,1271.9723000191152,1271.9723000191152,1271.9723000191152,39.0,0.0008323746104118736,0.0,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300,1300
GET,/predict?cb_nonce=118351,1,1,4190.012899925932,4190.012899925932,4190.012899925932,4190.012899925932,0.0,0.0008323746104118736,0.0008323746104118736,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200
GET,/predict?cb_nonce=118465,1,1,4884.562499937601,4884.562499937601,4884.562499937601,4884.562499937601,0.0,0.0008323746104118736,0.0008323746104118736,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900,4900
GET,/predict?cb_nonce=11964,1,1,5277.107400004752,5277.107400004752,5277.107400004752,5277.107400004752,0.0,0.0008323746104118736,0.0008323746104118736,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300,5300
GET,/predict?cb_nonce=120894,1,0,1477.7749000350013,1477.7749000350013,1477.7749000350013,1477.7749000350013,39.0,0.0008323746104118736,0.0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
GET,/predict?cb_nonce=120903,1,0,2210.1832999615,2210.1832999615,2210.1832999615,2210.1832999615,39.0,0.0008323746104118736,0.0,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200,2200
GET,/predict?cb_nonce=121807,1,0,2394.322199979797,2394.322199979797,2394.322199979797,2394.322199979797,39.0,0.0008323746104118736,0.0,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400
GET,/predict?cb_nonce=122448,1,0,2390.1070000138134,2390.1070000138134,2390.1070000138134,2390.1070000138134,39.0,0.0008323746104118736,0.0,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400,2400
GET,/predict?cb_nonce=122764,1,1,4220.91310005635,4220.91310005635,4220.91310005635,4220.91310005635,0.0,0.0008323746104118736,0.0008323746104118736,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200
GET,/predict?cb_nonce=123105,1,1,4079.586899955757,4079.586899955757,4079.586899955757,4079.586899955757,0.0,0.0008323746104118736,0.0008323746104118736,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/predict?cb_nonce=123465,1,1,4379.001599969342,4379.001599969342,4379.001599969342,4379.001599969342,0.0,0.0008323746104118736,0.0008323746104118736,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400
GET,/predict?cb_nonce=12350,1,1,4203.565899981186,4203.565899981186,4203.565899981186,4203.565899981186,0.0,0.0008323746104118736,0.0008323746104118736,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200,4200
GET,/predict?cb_nonce=12426,1,0,8355.177200050093,8355.177200050093,8355.177200050093,8355.177200050093,39.0,0.0008323746104118736,0.0,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400,8400
GET,/predict?cb_nonce=1246,1,0,1498.5430999659002,1498.5430999659002,1498.5430999659002,1498.5430999659002,39.0,0.0008323746104118736,0.0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500
GET,/predict?cb_nonce=125091,1,0,667.7271999651566,667.7271999651566,667.7271999651566,667.7271999651566,39.0,0.0008323746104118736,0.0,670,670,670,670,670,670,670,670,670,670,670
GET,/predict?cb_nonce=125553,1,0,1727.9220999917015,1727.9220999917015,1727.9220999917015,1727.9220999917015,39.0,0.0008323746104118736,0.0,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700
GET,/predict?cb_nonce=125596,1,1,4062.9866000963375,4062.9866000963375,4062.9866000963375,4062.9866000963375,0.0,0.0008323746104118736,0.0008323746104118736,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100,4100
GET,/predict?cb_nonce=125756,1,0,16210.359600023367,16210.359600023367,16210.359600023367,16210.359600023367,39.0,0.0008323746104118736,0.0,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000
